,path,corruption,img_id,filename,algo,clipping,timestamp,latent,epsilon,psnr_to_target,lpips_to_target
0,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8991/original.png,voronoi_noise,8991,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
1,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8991/corrupted.png,voronoi_noise,8991,corrupted.png,none,none,2024-05-22_19-58,none,,16.530664443969727,0.23205368220806122
2,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8991/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,8991,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,16.281116485595703,0.2697495222091675
3,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8991/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,8991,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.436386108398438,0.1472945660352707
4,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8991/ode/non_clipped/200_0.0001_0.png,voronoi_noise,8991,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.47083282470703,0.16225171089172363
5,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8991/ode/non_clipped/200_0.001_0.png,voronoi_noise,8991,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,15.666749954223633,0.18103346228599548
6,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13940/original.png,voronoi_noise,13940,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
7,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13940/corrupted.png,voronoi_noise,13940,corrupted.png,none,none,2024-05-22_19-58,none,,15.68919563293457,0.12773701548576355
8,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13940/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,13940,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,15.268132209777832,0.35173118114471436
9,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13940/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,13940,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.034931182861328,0.3469669222831726
10,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13940/ode/non_clipped/200_0.0001_0.png,voronoi_noise,13940,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.181534767150879,0.316206157207489
